ORDERNUMBER,ORDERDATE,ORDERLINENUMBER,QUANTITY,PRICEEACH,SALES,STATUS,PRODUCTLINE,HASMSRP,CODE,CUSTOMER,CITY,STATE,DEALSIZE,ACTIVECUSTOMER
15176,2019-11-24,9,164,193.18,31681.13,Shipped,Poultry,1,10120,COSTCO,Augusta,GA,Large,Active
11824,2019-12-17,13,137,191.56,26261.53,Shipped,Poultry,1,10120,COSTCO,Texas City,TX,Small,Active
14766,2020-02-03,12,121,110.28,13376.02,Shipped,Poultry,1,10120,COSTCO,Dallas,TX,Small,Active
13319,2020-03-03,4,133,169.0,22465.37,Shipped,Poultry,1,10120,WALMART,Fort Worth,TX,Medium,Active
13670,2020-04-08,7,149,213.44,31782.02,Shipped,Poultry,1,10120,WALMART,Corpus Christi,TX,Small,Active
11784,2020-05-13,2,164,215.22,35283.58,Shipped,Poultry,1,10120,COSTCO,Houston,TX,Large,Active
13677,2018-01-29,11,136,184.36,25037.75,Shipped,Fresh Produce Vegetables,1,10120,WALMART,Houston,TX,Medium,Active
12941,2018-03-24,1,113,177.82,20130.9,Shipped,Fresh Produce Vegetables,1,10120,WALMART,Jacksonville,FL,Large,Active
12754,2018-05-28,11,157,181.59,28598.63,Shipped,Fresh Produce Vegetables,1,10120,WALMART,Houston,TX,Large,Active
12350,2018-07-24,11,121,216.77,26295.35,Shipped,Fresh Produce Vegetables,1,10120,WALMART,Houston,TX,Large,Active
13750,2018-09-19,8,120,189.56,22836.9,Shipped,Fresh Produce Vegetables,1,10120,COSTCO,Jacksonville,FL,Large,Active
11733,2018-10-20,1,99,206.16,20455.39,Shipped,Fresh Produce Vegetables,1,10120,WALMART,Jacksonville,FL,Medium,Active
13629,2018-11-06,4,111,197.97,22062.49,Shipped,Fresh Produce Vegetables,1,10120,WALMART,Cape Coral,FL,Large,Active
12175,2018-11-13,8,136,199.43,27073.85,Shipped,Fresh Produce Vegetables,1,10120,WALMART,Palm Beach,FL,Medium,Active
11905,2018-11-25,11,163,181.29,29473.72,Shipped,Fresh Produce Vegetables,1,10120,COSTCO,Tampa,FL,Large,Active
14387,2018-12-05,6,131,224.26,29372.57,Shipped,Fresh Produce Vegetables,1,10120,WALMART,Galveston,TX,Large,Active
12839,2019-01-29,3,141,197.61,27865.68,Shipped,Fresh Produce Vegetables,1,10120,WALMART,Atlanta,GA,Medium,Active
13904,2019-03-10,2,106,192.14,20372.17,Shipped,Fresh Produce Vegetables,1,10120,WALMART,Macon,GA,Medium,Active
14003,2019-05-04,9,110,201.36,22172.41,Shipped,Fresh Produce Vegetables,1,10120,WALMART,Tampa,FL,Medium,Active
14257,2019-06-15,6,143,178.29,25538.36,Shipped,Fresh Produce Vegetables,1,10120,WALMART,San Antonio,TX,Large,Active
12884,2019-07-19,9,138,209.55,28816.06,Shipped,Fresh Produce Vegetables,1,10120,COSTCO,Texas City,TX,Medium,Active
13371,2019-08-17,2,121,181.17,21920.26,Shipped,Fresh Produce Vegetables,1,10120,WALMART,Fort Worth,TX,Large,Active
11918,2019-09-08,11,130,204.48,26568.64,Shipped,Fresh Produce Vegetables,1,10120,COSTCO,Savannah,GA,Large,Active
12443,2019-10-11,6,159,176.35,28109.49,Shipped,Fresh Produce Vegetables,1,10120,WALMART,Tampa,FL,Large,Active
12157,2019-10-21,3,143,179.45,25591.81,Shipped,Fresh Produce Vegetables,1,10120,COSTCO,San Antonio,TX,Large,Active
12295,2019-11-04,1,161,193.67,31235.19,Shipped,Fresh Produce Vegetables,1,10120,WALMART,Houston,TX,Medium,Active
14561,2019-11-18,3,135,196.34,26499.24,Shipped,Fresh Produce Vegetables,1,10120,WALMART,Palm Beach,FL,Medium,Active
14383,2019-11-29,1,129,200.27,25841.11,Shipped,Fresh Produce Vegetables,1,10120,COSTCO,Corpus Christi,TX,Medium,Active
14283,2019-12-10,10,143,179.97,25652.91,Shipped,Fresh Produce Vegetables,1,10120,COSTCO,San Antonio,TX,Medium,Active
11497,2020-01-20,2,126,195.93,24738.54,Shipped,Fresh Produce Vegetables,1,10120,WALMART,El Paso,TX,Medium,Active
15234,2020-02-17,3,156,206.1,32116.06,Shipped,Fresh Produce Vegetables,1,10120,COSTCO,Cape Coral,FL,Large,Active
13774,2020-03-09,4,116,222.7,25817.32,Shipped,Fresh Produce Vegetables,1,10120,COSTCO,Palm Beach,FL,Small,Active
13271,2020-05-01,9,113,180.36,20293.01,Shipped,Fresh Produce Vegetables,1,10120,WALMART,Galveston,TX,Medium,Active
14759,2020-05-31,6,140,179.29,25112.97,Shipped,Fresh Produce Vegetables,1,10120,COSTCO,Houston,TX,Large,Active
12139,2018-02-24,5,137,217.09,29704.46,Shipped,Poultry,1,10120,COSTCO,Austin,TX,Medium,Active
12734,2018-04-29,3,140,186.26,25989.74,Shipped,Poultry,1,10120,COSTCO,Corpus Christi,TX,Small,Active
14215,2018-07-01,5,114,193.09,22075.86,Shipped,Poultry,1,10120,WALMART,Palm Beach,FL,Medium,Active
12172,2018-08-25,9,141,218.4,30869.09,Shipped,Poultry,1,10120,WALMART,San Antonio,TX,Medium,Active
12563,2018-10-10,17,158,177.59,28021.47,Shipped,Poultry,1,10120,COSTCO,Cape Coral,FL,Medium,Active
13175,2018-10-28,4,127,205.18,25976.42,Shipped,Poultry,1,10120,WALMART,Houston,TX,Medium,Active
13474,2018-11-11,12,127,190.27,24206.01,Shipped,Poultry,1,10120,WALMART,Palm Beach,FL,Medium,Active
12595,2018-11-18,4,123,218.58,26805.55,Shipped,Poultry,1,10120,WALMART,Corpus Christi,TX,Medium,Active
12945,2018-12-01,5,118,220.8,25992.54,Shipped,Poultry,1,10120,WALMART,Palm Beach,FL,Medium,Active
13565,2019-01-12,2,122,196.27,23921.71,Shipped,Poultry,1,10120,WALMART,Jacksonville,FL,Medium,Active
11958,2019-02-20,4,143,184.63,26439.54,Shipped,Poultry,1,10120,COSTCO,Corpus Christi,TX,Medium,Active
12949,2019-04-03,1,114,200.26,22747.72,Shipped,Poultry,1,10120,WALMART,Galveston,TX,Small,Active
11835,2019-05-18,5,145,215.56,31174.96,Shipped,Poultry,1,10120,WALMART,Palm Beach,FL,Medium,Active
14719,2019-06-28,5,137,184.6,25289.44,Shipped,Poultry,1,10120,WALMART,Austin,TX,Medium,Active
13619,2019-07-23,4,98,209.6,20592.3,Shipped,Poultry,1,10120,COSTCO,Dallas,TX,Small,Active
14001,2019-08-27,9,156,201.91,31594.24,Shipped,Poultry,1,10120,WALMART,Dallas,TX,Medium,Active
11441,2019-09-27,1,124,174.45,21717.41,Shipped,Poultry,1,10120,WALMART,New Orleans,LA,Medium,Active
11600,2019-10-15,2,148,217.26,32123.07,Shipped,Poultry,1,10120,WALMART,Austin,TX,Medium,Active
15133,2019-11-02,4,130,195.96,25523.93,Shipped,Poultry,1,10120,WALMART,San Antonio,TX,Medium,Active
12495,2019-11-15,2,141,183.49,25854.37,Shipped,Poultry,1,10120,COSTCO,Austin,TX,Medium,Active
12374,2019-11-23,4,123,175.69,21594.01,Shipped,Poultry,1,10120,WALMART,San Antonio,TX,Small,Active
11824,2019-12-17,8,142,163.31,23206.19,Shipped,Poultry,1,10120,COSTCO,Texas City,TX,Small,Active
13032,2020-02-02,5,136,213.22,28919.35,Shipped,Poultry,1,10120,WALMART,Cape Coral,FL,Medium,Active
13319,2020-03-03,5,151,125.78,19032.39,Shipped,Poultry,1,10120,WALMART,Fort Worth,TX,Small,Active
11515,2020-04-07,1,135,181.09,24461.43,Shipped,Poultry,1,10120,WALMART,Dallas,TX,Medium,Active
11784,2020-05-13,5,145,207.36,30086.95,Shipped,Poultry,1,10120,COSTCO,Houston,TX,Medium,Active
12139,2018-02-24,4,115,214.45,24710.67,Shipped,Poultry,1,10120,COSTCO,Austin,TX,Medium,Active
12734,2018-04-29,2,140,215.16,30091.3,Shipped,Poultry,1,10120,COSTCO,Corpus Christi,TX,Large,Active
14215,2018-07-01,4,129,183.38,23580.68,Shipped,Poultry,1,10120,WALMART,Palm Beach,FL,Large,Active
12172,2018-08-25,8,136,212.54,28969.96,Shipped,Poultry,1,10120,WALMART,San Antonio,TX,Medium,Active
12563,2018-10-10,16,124,192.82,23970.52,Shipped,Poultry,1,10120,COSTCO,Cape Coral,FL,Medium,Active
13175,2018-10-28,3,114,192.94,21962.67,Shipped,Poultry,1,10120,WALMART,Houston,TX,Medium,Active
13474,2018-11-11,11,140,184.12,25714.86,Shipped,Poultry,1,10120,WALMART,Palm Beach,FL,Large,Active
12595,2018-11-18,3,163,200.26,32609.31,Shipped,Poultry,1,10120,WALMART,Corpus Christi,TX,Large,Active
12945,2018-12-01,4,173,207.74,35886.8,Shipped,Poultry,1,10120,WALMART,Palm Beach,FL,Large,Active
13565,2019-01-12,1,127,208.31,26465.66,Shipped,Poultry,1,10120,WALMART,Jacksonville,FL,Medium,Active
11958,2019-02-20,3,146,208.66,30521.17,Shipped,Poultry,1,10120,COSTCO,Corpus Christi,TX,Large,Active
13824,2019-04-05,9,145,223.31,32410.81,Shipped,Poultry,1,10120,WALMART,Austin,TX,Large,Active
11835,2019-05-18,4,142,221.83,31412.08,Shipped,Poultry,1,10120,WALMART,Palm Beach,FL,Large,Active
14719,2019-06-28,4,163,222.78,36341.21,Shipped,Poultry,1,10120,WALMART,Austin,TX,Large,Active
13619,2019-07-23,3,152,221.82,33684.45,Shipped,Poultry,1,10120,COSTCO,Dallas,TX,Medium,Active
14001,2019-08-27,8,142,198.47,28168.26,Shipped,Poultry,1,10120,WALMART,Dallas,TX,Medium,Active
12561,2019-09-30,11,117,182.17,21229.69,Shipped,Poultry,1,10120,WALMART,San Antonio,TX,Medium,Active
11600,2019-10-15,1,101,199.45,20232.76,Shipped,Poultry,1,10120,WALMART,Austin,TX,Medium,Active
15133,2019-11-02,3,156,176.84,27671.31,Shipped,Poultry,1,10120,WALMART,San Antonio,TX,Large,Active
12495,2019-11-15,3,150,222.77,33437.64,Shipped,Poultry,1,10120,COSTCO,Austin,TX,Medium,Active
12374,2019-11-23,3,144,156.42,22513.56,Shipped,Poultry,1,10120,WALMART,San Antonio,TX,Small,Active
11757,2020-01-05,4,103,193.11,19886.56,Shipped,Poultry,1,10120,WALMART,Houston,TX,Medium,Active
13032,2020-02-02,1,104,175.01,18283.21,Shipped,Poultry,1,10120,WALMART,Cape Coral,FL,Medium,Active
13319,2020-03-03,7,108,162.55,17552.34,Shipped,Poultry,1,10120,WALMART,Fort Worth,TX,Small,Active
13670,2020-04-08,9,177,216.22,38213.28,Shipped,Poultry,1,10120,WALMART,Corpus Christi,TX,Large,Active
11784,2020-05-13,4,180,179.9,32465.39,Shipped,Poultry,1,10120,COSTCO,Houston,TX,Large,Active
14713,2018-02-11,2,128,200.72,25757.79,Shipped,Fresh Produce Vegetables,1,10120,COSTCO,Shreveport,LA,Large,Active
11619,2018-04-28,11,128,191.14,24538.51,Shipped,Fresh Produce Vegetables,1,10120,COSTCO,Augusta,GA,Medium,Active
14381,2018-06-12,2,139,185.85,25786.51,Shipped,Fresh Produce Vegetables,1,10120,WALMART,Dallas,TX,Medium,Active
13746,2018-08-10,15,138,196.05,26976.27,Shipped,Fresh Produce Vegetables,1,10120,COSTCO,Baton Rouge,LA,Medium,Active
14080,2018-10-06,13,140,212.3,29780.36,Shipped,Fresh Produce Vegetables,1,10120,WALMART,San Antonio,TX,Medium,Active
12041,2018-10-23,9,161,211.25,34081.07,Shipped,Fresh Produce Vegetables,1,10120,COSTCO,Savannah,GA,Medium,Active
14520,2018-11-08,12,134,198.71,26558.08,Shipped,Fresh Produce Vegetables,1,10120,WALMART,Jacksonville,FL,Medium,Active
14366,2018-11-14,9,103,210.76,21793.49,Shipped,Fresh Produce Vegetables,1,10120,WALMART,Atlanta,GA,Medium,Active
14551,2018-11-26,6,162,182.61,29537.58,Shipped,Fresh Produce Vegetables,1,10120,WALMART,Galveston,TX,Medium,Active
12287,2019-01-09,8,141,202.5,28556.4,Shipped,Fresh Produce Vegetables,1,10120,,,,Medium,Active
12601,2019-02-19,12,147,197.68,29098.44,Shipped,Fresh Produce Vegetables,1,10120,WALMART,Austin,TX,Medium,Active
12847,2019-05-07,3,116,222.2,25753.5,Shipped,Fresh Produce Vegetables,1,10120,COSTCO,Austin,TX,Small,Active
11689,2019-06-17,1,150,193.7,29025.93,Shipped,Fresh Produce Vegetables,1,10120,WALMART,Galveston,TX,Medium,Active
14360,2019-07-21,4,140,224.09,31263.88,Shipped,Fresh Produce Vegetables,1,10120,WALMART,El Paso,TX,Medium,Active
14430,2019-08-20,6,113,192.18,21631.98,Shipped,Fresh Produce Vegetables,1,10120,WALMART,Corpus Christi,TX,Small,Active
13129,2019-09-10,1,145,187.91,27252.09,Shipped,Fresh Produce Vegetables,1,10120,WALMART,Fort Worth,TX,Medium,Active
13323,2019-10-14,9,133,196.99,26195.39,Shipped,Fresh Produce Vegetables,1,10120,WALMART,Palm Beach,FL,Small,Active
15221,2019-11-01,17,130,198.87,25836.37,Shipped,Fresh Produce Vegetables,1,10120,WALMART,Fort Worth,TX,Medium,Active
14526,2019-11-05,6,155,163.51,25409.09,Shipped,Fresh Produce Vegetables,1,10120,WALMART,Houston,TX,Medium,Active
11641,2019-11-21,8,121,168.01,20322.26,Shipped,Fresh Produce Vegetables,1,10120,WALMART,Jacksonville,FL,Small,Active
12320,2019-12-02,5,125,181.45,22681.2,Shipped,Fresh Produce Vegetables,1,10120,COSTCO,Houston,TX,Small,Active
13130,2019-12-15,6,167,169.77,28343.83,Shipped,Fresh Produce Vegetables,1,10120,COSTCO,Atlanta,GA,Small,Active
14439,2020-01-31,3,154,223.88,34550.27,Shipped,Fresh Produce Vegetables,1,10120,WALMART,Houston,TX,Medium,Active
13188,2020-02-23,4,125,186.61,23238.89,Shipped,Fresh Produce Vegetables,1,10120,COSTCO,Cape Coral,FL,Medium,Active
13560,2020-03-17,2,113,216.47,24482.25,Shipped,Fresh Produce Vegetables,1,10120,WALMART,Palm Beach,FL,Medium,Active
14731,2020-04-01,9,153,176.78,27031.18,Shipped,Fresh Produce Vegetables,1,10120,COSTCO,Macon,GA,Large,Active
13653,2020-05-06,3,115,215.66,24696.04,Shipped,Fresh Produce Vegetables,1,10120,WALMART,Fort Worth,TX,Small,Active
13677,2018-01-29,4,157,183.31,28803.79,Shipped,Fresh Produce Vegetables,1,10120,WALMART,Houston,TX,Medium,Active
11719,2018-04-01,8,130,200.13,26088.32,Shipped,Fresh Produce Vegetables,1,10120,WALMART,El Paso,TX,Medium,Active
12754,2018-05-28,4,142,182.12,25838.78,Shipped,Fresh Produce Vegetables,1,10120,WALMART,Houston,TX,Medium,Active
12350,2018-07-24,4,112,221.43,24792.95,Shipped,Fresh Produce Vegetables,1,10120,WALMART,Houston,TX,Medium,Active
13750,2018-09-19,1,142,176.72,25174.32,Shipped,Fresh Produce Vegetables,1,10120,COSTCO,Jacksonville,FL,Medium,Active
14472,2018-10-21,2,127,195.01,24800.06,Shipped,Fresh Produce Vegetables,1,10120,WALMART,Cape Coral,FL,Medium,Active
12162,2018-11-06,9,109,197.19,21405.92,Shipped,Fresh Produce Vegetables,1,10120,WALMART,Dallas,TX,Medium,Active
12175,2018-11-13,1,143,196.6,28031.02,Shipped,Fresh Produce Vegetables,1,10120,WALMART,Palm Beach,FL,Medium,Active
11905,2018-11-25,4,103,207.72,21497.36,Shipped,Fresh Produce Vegetables,1,10120,COSTCO,Tampa,FL,Medium,Active
12213,2018-12-09,15,144,209.21,30052.76,Shipped,Fresh Produce Vegetables,1,10120,WALMART,Tampa,FL,Medium,Active
12369,2019-02-04,4,150,182.04,27227.53,Shipped,Fresh Produce Vegetables,1,10120,COSTCO,New Orleans,LA,Large,Active
11956,2019-03-11,9,134,219.96,29582.0,Shipped,Fresh Produce Vegetables,1,10120,COSTCO,San Antonio,TX,Medium,Active
14003,2019-05-04,2,104,176.72,18300.35,Shipped,Fresh Produce Vegetables,1,10120,WALMART,Tampa,FL,Medium,Active
12188,2019-06-15,12,148,188.43,27891.13,Shipped,Fresh Produce Vegetables,1,10120,COSTCO,New Orleans,LA,Medium,Active
12884,2019-07-19,2,107,195.85,21042.17,Shipped,Fresh Produce Vegetables,1,10120,COSTCO,Texas City,TX,Medium,Active
12929,2019-08-19,9,131,200.59,26228.12,Shipped,Fresh Produce Vegetables,1,10120,WALMART,San Antonio,TX,Large,Active
11918,2019-09-08,4,114,198.71,22663.51,Shipped,Fresh Produce Vegetables,1,10120,COSTCO,Savannah,GA,Medium,Active
12115,2019-10-13,13,162,197.9,32042.54,Shipped,Fresh Produce Vegetables,1,10120,WALMART,Dallas,TX,Medium,Active
15147,2019-10-22,7,161,179.95,28889.15,Shipped,Fresh Produce Vegetables,1,10120,WALMART,Galveston,TX,Medium,Active
12295,2019-11-04,8,141,150.49,21223.95,Shipped,Fresh Produce Vegetables,1,10120,WALMART,Houston,TX,Small,Active
12548,2019-11-19,2,149,216.31,32287.82,Shipped,Fresh Produce Vegetables,1,10120,WALMART,Jacksonville,FL,Medium,Active
14383,2019-11-29,2,130,208.51,27187.49,Shipped,Fresh Produce Vegetables,1,10120,COSTCO,Corpus Christi,TX,Medium,Active
14283,2019-12-10,9,162,222.79,36138.02,Shipped,Fresh Produce Vegetables,1,10120,COSTCO,San Antonio,TX,Medium,Active
13572,2020-01-20,4,135,159.89,21530.67,Shipped,Fresh Produce Vegetables,1,10120,COSTCO,Palm Beach,FL,Small,Active
15234,2020-02-17,6,148,199.21,29487.72,Shipped,Fresh Produce Vegetables,1,10120,COSTCO,Cape Coral,FL,Medium,Active
13774,2020-03-09,7,152,139.18,21160.74,Shipped,Fresh Produce Vegetables,1,10120,COSTCO,Palm Beach,FL,Small,Active
13271,2020-05-01,2,124,203.69,25340.16,Shipped,Fresh Produce Vegetables,1,10120,WALMART,Galveston,TX,Medium,Active
13845,2020-05-31,12,130,203.33,26485.36,Shipped,Fresh Produce Vegetables,1,10120,COSTCO,Dallas,TX,Medium,Active
14504,2018-03-03,6,122,216.35,26323.99,Shipped,Fresh Produce Vegetables,1,10124,WALMART,Fort Worth,TX,Medium,Active
12366,2018-05-08,10,164,223.87,36641.91,Shipped,Fresh Produce Vegetables,1,10124,WALMART,Austin,TX,Large,Active
13950,2018-07-02,7,147,196.07,28857.34,Shipped,Fresh Produce Vegetables,1,10124,COSTCO,San Antonio,TX,Large,Active
12493,2018-09-05,7,134,195.48,26290.09,Shipped,Fresh Produce Vegetables,1,10124,WALMART,El Paso,TX,Large,Active
12563,2018-10-10,2,124,203.2,25170.89,Shipped,Fresh Produce Vegetables,1,10124,COSTCO,Cape Coral,FL,Large,Active
13865,2018-11-04,2,119,179.59,21448.23,Shipped,Fresh Produce Vegetables,1,10124,COSTCO,Palm Beach,FL,Medium,Active
14983,2018-11-12,14,140,191.49,26807.51,Shipped,Fresh Produce Vegetables,1,10124,WALMART,Corpus Christi,TX,Medium,Active
11366,2018-11-20,3,102,197.79,20150.32,Shipped,Fresh Produce Vegetables,1,10124,WALMART,Dallas,TX,Medium,Active
14433,2018-12-02,8,117,184.82,21655.91,Shipped,Fresh Produce Vegetables,1,10124,COSTCO,Houston,TX,Medium,Active
12011,2019-01-15,2,144,176.69,25455.35,Shipped,Fresh Produce Vegetables,1,10124,WALMART,Dallas,TX,Large,Active
12363,2019-02-22,9,102,198.82,20292.12,Shipped,Fresh Produce Vegetables,1,10124,WALMART,San Antonio,TX,Medium,Active
11647,2019-04-09,3,147,177.25,26029.83,Shipped,Fresh Produce Vegetables,1,10124,COSTCO,Shreveport,LA,Medium,Active
14092,2019-06-01,13,128,218.66,27994.15,Shipped,Fresh Produce Vegetables,1,10124,WALMART,Corpus Christi,TX,Medium,Active
13285,2019-07-06,14,133,183.9,24397.06,Shipped,Fresh Produce Vegetables,1,10124,COSTCO,Columbus,GA,Large,Active
13027,2019-08-02,3,128,209.2,26820.59,Shipped,Fresh Produce Vegetables,1,10124,WALMART,Tampa,FL,Large,Active
11506,2019-08-30,12,101,205.83,20780.69,Shipped,Fresh Produce Vegetables,1,10124,WALMART,San Antonio,TX,Medium,Active
13566,2018-10-04,5,139,221.97,30851.73,Shipped,Fresh Produce Vegetables,1,10124,WALMART,Galveston,TX,Medium,Active
13665,2019-10-16,10,125,220.57,27640.53,Shipped,Fresh Produce Vegetables,1,10124,WALMART,Dallas,TX,Medium,Active
13149,2019-11-03,3,151,216.83,32792.24,Shipped,Fresh Produce Vegetables,1,10124,WALMART,Jacksonville,FL,Medium,Active
12495,2019-11-15,5,151,163.21,24705.85,Shipped,Fresh Produce Vegetables,1,10124,COSTCO,Austin,TX,Small,Active
15176,2019-11-24,2,144,155.58,22328.31,Shipped,Fresh Produce Vegetables,1,10124,COSTCO,Augusta,GA,Medium,Active
14931,2020-01-06,3,150,187.9,28218.81,Shipped,Fresh Produce Vegetables,1,10124,WALMART,Corpus Christi,TX,Small,Active
14766,2020-02-03,7,158,173.33,27461.24,Shipped,Fresh Produce Vegetables,1,10124,COSTCO,Dallas,TX,Medium,Active
12291,2020-03-03,4,123,218.21,26812.99,Shipped,Fresh Produce Vegetables,1,10124,COSTCO,Savannah,GA,Small,Active
13288,2020-05-17,13,129,181.31,23340.78,Shipped,Fresh Produce Vegetables,1,10124,COSTCO,Augusta,GA,Small,Active
14713,2018-02-11,15,129,213.94,27548.55,Shipped,Fresh Produce Vegetables,1,10124,COSTCO,Shreveport,LA,Large,Active
13268,2018-04-16,9,154,180.65,27817.32,Shipped,Fresh Produce Vegetables,1,10124,COSTCO,Jacksonville,FL,Medium,Active
12483,2018-06-03,2,129,175.5,22687.92,Shipped,Fresh Produce Vegetables,1,10124,COSTCO,El Paso,TX,Large,Active
12568,2018-08-08,12,121,222.63,26954.32,Shipped,Fresh Produce Vegetables,1,10124,COSTCO,San Antonio,TX,Large,Active
11954,2018-09-28,11,141,207.75,29309.15,Shipped,Fresh Produce Vegetables,1,10124,COSTCO,Houston,TX,Medium,Active
14953,2018-10-22,3,164,215.86,35366.85,Shipped,Fresh Produce Vegetables,1,10124,COSTCO,Jacksonville,FL,Large,Active
13039,2018-11-06,2,121,194.99,23510.53,Shipped,Fresh Produce Vegetables,1,10124,COSTCO,Columbus,GA,Large,Active
12272,2018-11-14,13,144,178.17,25599.36,Shipped,Fresh Produce Vegetables,1,10124,COSTCO,Baton Rouge,LA,Medium,Active
14198,2018-11-26,5,149,175.15,26162.25,Shipped,Fresh Produce Vegetables,1,10124,WALMART,Tampa,FL,Large,Active
12846,2019-01-02,13,169,209.53,35432.26,Shipped,Fresh Produce Vegetables,1,10124,COSTCO,Tampa,FL,Large,Active
12142,2019-02-12,2,118,223.64,26345.58,Shipped,Fresh Produce Vegetables,1,10124,WALMART,Cape Coral,FL,Large,Active
14716,2019-03-19,2,146,215.36,31495.23,Shipped,Fresh Produce Vegetables,1,10124,WALMART,Atlanta,GA,Large,Active
13882,2019-05-05,2,161,196.23,31571.49,Shipped,Fresh Produce Vegetables,1,10124,WALMART,Corpus Christi,TX,Large,Active
12802,2019-07-20,2,136,223.83,30537.36,Shipped,Fresh Produce Vegetables,1,10124,WALMART,San Antonio,TX,Medium,Active
11766,2019-08-20,5,116,183.91,21369.45,Shipped,Fresh Produce Vegetables,1,10124,COSTCO,San Antonio,TX,Large,Active
14439,2019-09-09,8,163,192.9,31520.95,Shipped,Fresh Produce Vegetables,1,10124,WALMART,Fort Worth,TX,Large,Active
12048,2019-10-14,13,112,208.6,23421.37,Shipped,Fresh Produce Vegetables,1,10124,COSTCO,Fort Worth,TX,Medium,Active
15269,2019-10-22,5,135,215.95,29083.32,Shipped,Fresh Produce Vegetables,1,10124,WALMART,Dallas,TX,Large,Active
14526,2019-11-05,8,155,173.76,26919.84,Shipped,Fresh Produce Vegetables,1,10124,WALMART,Houston,TX,Small,Active
14198,2019-11-20,10,156,174.09,27095.59,Shipped,Fresh Produce Vegetables,1,10124,WALMART,El Paso,TX,Small,Active
14675,2019-11-01,8,130,161.68,21045.33,Shipped,Fresh Produce Vegetables,1,10124,WALMART,Houston,TX,Small,Active
13130,2019-12-15,8,163,189.56,30851.88,Shipped,Fresh Produce Vegetables,1,10124,COSTCO,Atlanta,GA,Medium,Active
13244,2020-01-23,6,152,213.37,32420.53,Shipped,Fresh Produce Vegetables,1,10124,COSTCO,San Antonio,TX,Medium,Active
12708,2020-02-17,10,130,204.04,26594.32,Shipped,Fresh Produce Vegetables,1,10124,COSTCO,San Antonio,TX,Medium,Active
13560,2020-03-17,1,138,176.18,24243.21,Shipped,Fresh Produce Vegetables,1,10124,WALMART,Palm Beach,FL,Small,Active
11458,2020-05-05,2,122,197.6,24127.08,Shipped,Fresh Produce Vegetables,1,10124,WALMART,Austin,TX,Large,Active
13677,2018-01-29,8,121,218.3,26464.7,Shipped,Pork,1,10124,WALMART,Houston,TX,Medium,Active
12116,2018-03-26,2,131,198.34,26017.79,Shipped,Pork,1,10124,COSTCO,San Antonio,TX,Medium,Active
12754,2018-05-28,8,133,208.38,27610.03,Shipped,Pork,1,10124,WALMART,Houston,TX,Small,Active
12350,2018-07-24,8,137,216.19,29566.62,Shipped,Pork,1,10124,WALMART,Houston,TX,Medium,Active
